,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
87,Hassellidens Hannah,Helig birma (SBI),1975-08-27,Hona,brunmaskad (n),(SE)SVERAK LO 20783,,(SE)SVERAK LO 18789,(SE)SVERAK LO 16538
88,Hassellidens Darje,Helig birma (SBI),1978-07-05,Hane,blåmaskad (a),(SE)SVERAK LO 24953 B,IC,(SE)SVERAK LO 24024,(SE)SVERAK LO 24023
89,Hassellidens Raina,Helig birma (SBI),1977-04-22,Hona,blåmaskad (a),(SE)SVERAK LO 24023,,(SE)SVERAK LO 20936,(SE)SVERAK LO 20783
90,Juveniles Shivey,Helig birma (SBI),,Hona,blåmaskad (a),(SE)SVERAK LO 22514 B,IC,(SE)SVERAK LO 20908,(SE)SVERAK LO 20059
91,Juveniles Fatima,Helig birma (SBI),1979-11-10,Hona,blåmaskad (a),(SE)SVERAK LO 30262,,(SE)SVERAK LO 24953 B,(SE)SVERAK LO 22514 B
92,Rosenkorsborgen Blue King,Helig birma (SBI),1978-09-23,Hane,blåmaskad (a),(SE)SVERAK LO 26354,IC,(SE)SVERAK LO 20711,(SE)SVERAK LO 22755
93,Cheapthrills Blue Hannibal Hayes,Helig birma (SBI),1980-02-29,Hane,blåmaskad (a),(SE)SVERAK LO 30631,CH,(SE)SVERAK LO 26354,(SE)SVERAK LO 20710
94,Hassellidens Céli,Helig birma (SBI),1978-08-21,Hona,brunmaskad (n),(SE)SVERAK LO 26302,,(SE)SVERAK LO 20936,(SE)SVERAK LO 18480
95,Hassellidens Blue Qatchin,Helig birma (SBI),1980-03-23,Hane,blåmaskad (a),(SE)SVERAK LO 30636,,(SE)SVERAK LO 18214,(SE)SVERAK LO 26302
96,Praha Shivey Mu,Helig birma (SBI),1970-07-11,Hona,blåmaskad (a),(GB)GCCF OS 204779  (SE)SVERAK LO 14942,CH,(GB)GCCF OS 188501,(GB)GCCF OS 189013
